id,user_id,course_id,time_created
454716,236,721,2021-10-12 06:12:45.707208
461517,237,721,2021-10-17 15:06:15.329654
445578,238,721,2021-10-05 17:17:46.451164
463054,239,721,2021-10-19 07:23:25.865827
458128,240,721,2021-10-14 08:08:30.069531
411435,241,721,2021-09-18 17:39:20.685097
402759,242,721,2021-09-14 18:24:52.508613
474322,243,721,2021-10-27 14:58:29.601166
477281,244,721,2021-10-29 10:34:08.111480
381950,245,721,2021-09-01 18:15:14.327183
470576,246,721,2021-10-25 17:55:41.144093
452498,247,721,2021-10-10 07:39:01.983029
388872,248,721,2021-09-04 20:44:22.787033
462376,249,721,2021-10-18 15:42:43.389131
474045,250,721,2021-10-27 12:54:00.456362
468443,251,721,2021-10-23 19:12:13.192957
397006,252,721,2021-09-10 12:10:41.508186
460441,253,721,2021-10-16 06:29:21.807709
467714,254,721,2021-10-22 23:51:49.347009
470567,255,721,2021-10-25 17:52:49.267530
391083,256,721,2021-09-06 08:16:36.508690
474957,257,721,2021-10-27 20:30:07.479316
394170,258,721,2021-09-08 10:52:29.657506
475121,259,721,2021-10-28 04:16:28.993840
412405,260,721,2021-09-19 10:20:47.807213
458119,261,721,2021-10-14 07:58:39.000226
388185,262,721,2021-09-04 15:29:49.307344
386972,263,721,2021-09-04 07:39:07.407283
424080,264,721,2021-09-24 19:55:08.307391
420946,265,721,2021-09-23 07:32:23.507219
413295,266,721,2021-09-19 18:39:13.222983
420479,267,721,2021-09-22 19:35:19.507237
415194,268,721,2021-09-20 17:05:22.221323
471418,269,721,2021-10-26 11:44:32.328454
457990,270,721,2021-10-14 05:50:40.099703
398722,271,721,2021-09-11 18:08:30.988198
462540,272,721,2021-10-18 17:22:35.404038
401773,273,721,2021-09-14 07:21:31.560227
454288,274,721,2021-10-11 17:30:18.440404
380365,275,721,2021-09-01 11:12:31.288973
474370,276,721,2021-10-27 15:19:48.175026
440705,277,721,2021-10-02 15:24:19.607290
380502,278,721,2021-09-01 12:22:31.669226
